depth,temp,hum,voc,risk,time_to_incident
90,26.38891817832936,74.41266857143702,733.8439552749517,30.199258082786766,50.860519342049265
45,49.93099380555539,80.57928659582348,181.12946698667994,25.46926925648485,54.171511520460605
180,27.26643443697281,27.13881882367648,675.8171343832585,22.195680980632133,56.46302331355751
150,46.182255773669056,47.16085707410923,162.66117160019434,19.36047668335384,58.447666321652314
105,19.44253307474088,71.09879414636829,544.0432506705547,24.75413668697632,54.67210431911658
180,51.328960152864276,43.90414888211479,162.90560994840206,19.905894549422616,58.06587381540417
60,46.00739634768949,11.279691886657695,742.314364429572,24.811827385591027,54.63172083008628
90,59.40968212568779,70.58824446817215,473.7562119896234,84.83678007796536,12.614253945424252
135,52.8420282695271,91.16386897353036,296.9553793550657,83.1232215142694,13.813744940011425
30,47.9763761118454,65.24847284061576,155.24208122269619,22.293335171386996,56.3946653800291
90,56.38673095488727,77.38007485690339,328.39417710949544,82.26860915590667,14.41197359086533
150,23.63651481433385,35.83625356578285,578.7650261516088,20.954585238076863,57.3317903333462
150,50.721579675516246,18.319824512663484,338.71316294641036,19.243161417247965,58.52978700792642
105,25.32663616936666,64.27736616182925,234.57060207158304,19.105130946989902,58.626408337107065
60,70.53133247111285,32.77712058412189,483.0570862203629,28.080154948472657,52.34389153606914
45,19.100046290736252,86.00735189897928,363.3663896278397,23.53423184851614,55.52603770603871
105,40.822484981447595,12.262804997800657,174.35467702271924,13.273067940135604,62.70885244190508
105,56.74784865932669,43.34636997331237,165.49099270809262,20.95448134113893,57.33186306120275
30,42.48133270009552,39.67276004683858,580.5964926663911,25.333364784539725,54.266644650822194
75,20.525715193974143,93.80538535539297,781.0039216371923,32.81977437280112,49.026157939039216
60,48.202740967602445,15.313480060440387,224.82055314654227,16.152955574084213,60.69293109814105
15,53.49791452964127,0.9846825012010951,629.8614506236174,22.657187480301246,56.13996876378913
105,57.22753865943046,23.80852128071176,115.7050268378489,17.186255177202526,59.96962137595823
165,37.39558886776554,82.02768597686546,336.18193928913627,26.08668203175423,53.73932257777204
75,48.81959826172573,20.932181604701704,430.01611460619273,20.966549041916515,57.32341567065844
15,42.04118849633478,24.08780637054827,251.56020896732622,16.73816257298656,60.28328619890941
165,55.32336232513521,12.98988045368108,447.1838123856878,21.39785101531085,57.021504289282404
60,50.01341803948911,71.54362032765404,711.9608207478908,87.87054671785431,10.490617297501984
0,46.54537317354809,6.917419050541717,758.3284717662451,24.56534633790797,54.80425756346442
165,29.971462010294918,33.120830232852164,125.41771577978709,13.313999107857814,62.680200624499534
135,15.121111064894034,28.249872662096454,253.88445048815174,12.02203655894612,63.584574408737716
75,25.444900518685756,55.51597297901548,784.3504381382937,28.122946765682478,52.31393726402227
180,22.02396248545012,73.04162650197355,252.81380780168277,20.101295368667607,57.92909324193268
165,41.94508470065681,53.28764346967474,569.5305133575808,27.060860586037208,53.057397589773956
120,51.73548904571068,93.10259929750676,240.09027040277348,82.01575585980018,14.588970898139877
0,27.78510052108849,95.14426388873319,317.27419499077865,25.77755084360478,53.955714409476656
150,71.34342575803123,36.14653284985154,193.4592409226731,23.318025846384096,55.677381907531135
150,15.400927753433267,77.76803762748928,692.2251452728589,27.724612668676148,52.592771131926696
135,61.33806090992057,73.88013832681897,711.986572864628,90.77709019135415,8.456036866052102
165,52.51228617182653,89.29645917048273,272.6843809365737,82.2330647249983,14.436854692501193
165,37.413288062860914,44.79436402077033,667.6923681279725,26.721044118087217,53.29526911733895
30,18.029336664744477,53.04731871977923,318.68123752773806,17.538238344560867,59.723233158807396
165,52.64919430705676,41.577431358157405,124.26456717136872,19.096414199598126,58.63251006028131
90,38.13681077193888,85.03769192997056,618.5572979690551,31.980965280803144,49.6133243034378
45,71.17602836479315,22.970231536213436,497.33468667413354,27.005765778530648,53.09596395502855
120,47.519404493385956,23.97090782424447,255.78683275306278,17.89552018643379,59.473135869496346
30,71.37909067761049,37.26051035770798,239.74980538388527,24.360203540126143,54.9478575219117
60,28.229021608398245,23.034283210235117,781.717527861741,23.758150450622562,55.36929468456421
30,58.5435546218462,56.100683641492076,696.8757806698185,86.87803817572461,11.185373276992777
90,52.03494125092354,13.44901064955023,657.3487470303236,24.74962885443581,54.67525980189494
60,59.36449378987871,32.01862194040553,146.0132814812492,19.413441076809995,58.410591246233004
120,27.880071838352208,91.344469847559,616.3904556861953,30.835005888920453,50.41549587775569
90,54.89967097426642,40.922548019179594,210.9051659024649,21.072788258401438,57.249048219119
15,44.882423583412134,74.82337164935092,783.0417074061805,34.88202247795095,47.582584265434335
45,59.569498494378976,11.3462191706574,89.06689097169328,15.285836780193653,61.29991425386444
120,34.62267864910906,24.756450814178464,314.1038626701827,16.527450777014508,60.430784456089846
